frame	timestamp	confidence	success	pose_Rx	pose_Ry	pose_Rz	AU01_r	AU02_r	AU04_r	AU05_r	AU06_r	AU07_r	AU09_r	AU10_r	AU12_r	AU14_r	AU15_r	AU17_r	AU20_r	AU23_r	AU25_r	AU26_r	AU45_r	stage
1	0	0.98	1   -0.303	-0.113	-0.027	0	0	0	0.79	0	0	0	0	0	0	0	0	0.38	0	1.08	0	0	before
2	0.04	0.98	1	-0.318	-0.112	-0.026	0	0	0	0.93	0	0	0	0	0	0	0	0	0.13	0	0.99	0.05	0	before
3	0.08	0.98	1	-0.32	-0.112	-0.027	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0.86	0.18	0.07	before
4	0.12	0.98	1	-0.33	-0.109	-0.024	0	0	0	0.94	0	0	0	0	0	0	0	0	0	0	0.75	0.24	0.14	before
5	0.16	0.98	1	-0.329	-0.109	-0.024	0	0	0	1.03	0	0	0	0	0	0	0	0.05	0	0	0.61	0.32	0.14	before
6	0.2	0.98	1	-0.311	-0.112	-0.023	0	0	0	1.13	0	0	0	0	0	0	0	0.11	0	0	0.55	0.26	0.06	before
7	0.24	0.98	1	-0.312	-0.112	-0.024	0	0	0	1.19	0	0	0	0	0	0	0	0.14	0	0	0.57	0.25	0	before
8	0.28	0.98	1	-0.312	-0.112	-0.024	0	0	0	1.04	0	0	0	0	0	0	0	0.1	0	0	0.65	0.27	0	before
9	0.32	0.98	1	-0.331	-0.111	-0.026	0	0	0	0.92	0	0	0	0	0	0.02	0	0.04	0	0	0.74	0.33	0	before
10	0.36	0.98	1	-0.33	-0.111	-0.027	0	0	0	0.86	0	0	0	0	0	0.05	0	0.01	0	0	0.79	0.36	0	before
11	0.4	0.98	1	-0.339	-0.108	-0.029	0	0	0	0.96	0	0	0	0	0	0.09	0	0	0	0	0.8	0.36	0	before
12	0.44	0.98	1	-0.337	-0.108	-0.028	0	0	0	1.01	0	0	0	0	0	0.09	0	0.02	0	0	0.87	0.39	0	before
